# dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
3.347808960825204849e-03,6.165925413370132446e-03,5.731655284762382507e-03,-1.371433027088642120e-03,-4.643547581508755684e-04,5.854265764355659485e-04,-1.509808935225009918e-02,1.504625938832759857e-02,7.085656980052590370e-04,-7.874643430113792419e-03,7.076724432408809662e-04,-3.739289939403533936e-03,-1.637228997424244881e-04,-4.501027055084705353e-03,-2.729498781263828278e-03,2.001330256462097168e-02,2.082826569676399231e-03,-7.373081445693969727e-01,-5.198591388761997223e-03,-4.033143166452646255e-03,-1.152622513473033905e-03,2.890803851187229156e-03,1.105040684342384338e-02,4.277206957340240479e-03,-1.694131642580032349e-03,-4.248213954269886017e-03,-7.311667315661907196e-03,-4.508608952164649963e-03,-1.172194257378578186e-03,6.819375324994325638e-03,-3.770988434553146362e-03,3.376575186848640442e-03
5.208362359553575516e-03,8.621279150247573853e-03,3.977542743086814880e-03,-3.606295795179903507e-04,-1.367454533465206623e-03,-1.482638530433177948e-03,-1.276502013206481934e-02,-2.075372263789176941e-03,1.142928958870470524e-03,-6.092607975006103516e-03,7.759919390082359314e-05,-1.632317528128623962e-02,2.383186481893062592e-03,-4.595372825860977173e-03,-1.998947001993656158e-03,2.042045444250106812e-02,9.575185249559581280e-04,-7.524327635765075684e-01,-4.983493126928806305e-03,-3.108146134763956070e-03,-1.311044674366712570e-03,3.114269115030765533e-03,1.119646802544593811e-02,5.523182451725006104e-03,-3.607079386711120605e-03,-2.856459468603134155e-03,-7.485867477953433990e-03,-3.611544147133827209e-03,4.334952682256698608e-04,4.063472617417573929e-03,-1.840593293309211731e-03,4.269847646355628967e-03
4.109222907572984695e-03,8.748937398195266724e-03,1.675320672802627087e-03,-1.563861034810543060e-03,-2.166961319744586945e-03,-1.500779762864112854e-04,-1.141458377242088318e-02,-4.460198804736137390e-03,2.519054803997278214e-03,-7.314467802643775940e-03,5.435212515294551849e-04,-1.418427005410194397e-02,1.308431732468307018e-03,-4.872459918260574341e-03,-2.387389540672302246e-03,1.056078076362609863e-02,1.401256769895553589e-03,-7.361106872558593750e-01,-5.123087204992771149e-03,-1.964555121958255768e-04,1.310482155531644821e-03,4.620031453669071198e-03,9.111505001783370972e-03,4.300363361835479736e-03,-3.440864384174346924e-03,-3.909306600689888000e-03,-4.462030250579118729e-03,-5.080895498394966125e-03,-9.543094784021377563e-04,6.829292047768831253e-03,-4.056677222251892090e-03,4.688749089837074280e-03
5.341720301657915115e-03,5.721945315599441528e-03,3.717167302966117859e-03,-2.189265796914696693e-05,4.939612699672579765e-04,-1.651037484407424927e-03,-1.029053144156932831e-02,1.116591226309537888e-02,5.940835457295179367e-03,-5.090555176138877869e-03,9.273602627217769623e-04,-1.498865708708763123e-02,1.775374519638717175e-03,-4.098698496818542480e-03,-2.843116410076618195e-03,1.753369718790054321e-02,-4.707556217908859253e-05,-8.465815186500549316e-01,-1.172610325738787651e-03,-2.534127328544855118e-03,5.393783561885356903e-03,5.075232125818729401e-03,7.837411016225814819e-03,6.330296397209167480e-03,-3.997385501861572266e-03,-2.455471083521842957e-03,-5.107008852064609528e-03,-7.863396778702735901e-03,-4.205796867609024048e-04,9.041704237461090088e-03,-1.682378351688385010e-03,3.540636971592903137e-03
1.867536921054124832e-03,6.249699741601943970e-03,8.363256929442286491e-04,-8.732444257475435734e-04,-4.855376668274402618e-03,-8.566351607441902161e-04,-1.139041781425476074e-02,7.241729646921157837e-03,5.468156654387712479e-03,-4.651953466236591339e-03,-7.706941105425357819e-04,-1.799352094531059265e-02,1.692230231128633022e-03,-3.497153287753462791e-03,-3.909780643880367279e-03,1.651628315448760986e-02,3.442219458520412445e-04,-6.614143252372741699e-01,-2.278917236253619194e-03,-6.987235043197870255e-03,1.874892972409725189e-03,4.626006819307804108e-03,7.017303258180618286e-03,2.229802310466766357e-03,-8.854325860738754272e-04,-1.698808860965073109e-03,-4.134849645197391510e-03,-6.737591698765754700e-03,2.380153164267539978e-03,7.877700030803680420e-03,-4.529763013124465942e-03,2.230616286396980286e-03
2.585299778729677200e-03,7.598344236612319946e-03,5.129771307110786438e-03,9.140716283582150936e-04,-2.932776696979999542e-03,-2.264964394271373749e-03,-1.073760539293289185e-02,9.716382250189781189e-03,1.830253400839865208e-03,-6.520117633044719696e-03,1.283930148929357529e-03,-2.452049776911735535e-02,3.809916786849498749e-03,-3.453470533713698387e-03,-4.491710104048252106e-03,1.880670338869094849e-02,-1.993891783058643341e-05,-7.221251130104064941e-01,-4.921139217913150787e-03,-3.763663116842508316e-03,1.545231789350509644e-03,2.533868886530399323e-03,8.479882031679153442e-03,4.225924611091613770e-03,-2.792635001242160797e-03,-3.595918416976928711e-03,-2.746645361185073853e-03,-3.652350977063179016e-03,-2.459622919559478760e-05,7.860377430915832520e-03,-2.461735159158706665e-03,1.428546383976936340e-03
5.451918113976716995e-03,8.518833667039871216e-03,5.567660555243492126e-03,-3.027594648301601410e-03,3.021816723048686981e-03,-8.283983916044235229e-04,-1.292335800826549530e-02,8.818378672003746033e-03,2.841061446815729141e-03,-5.616493988782167435e-03,1.224591396749019623e-04,-2.271471545100212097e-02,1.333132269792258739e-03,-5.876932293176651001e-03,-1.082080416381359100e-03,1.392111927270889282e-02,1.840228214859962463e-04,-1.041551947593688965e+00,-3.220462007448077202e-03,-1.098350621759891510e-04,2.335931174457073212e-03,4.094229079782962799e-03,1.170911267399787903e-02,5.259789526462554932e-03,-4.971645772457122803e-03,-6.553342565894126892e-03,-1.084929518401622772e-02,-5.806760862469673157e-03,-5.554500967264175415e-04,7.526301313191652298e-03,-1.285519450902938843e-03,1.702742651104927063e-03
2.264738548547029495e-03,9.353447705507278442e-03,6.072105839848518372e-03,-3.497154451906681061e-03,8.693587733432650566e-04,-7.670698687434196472e-04,-1.333239115774631500e-02,2.446153201162815094e-02,1.019835122860968113e-03,-7.230184040963649750e-03,1.777933444827795029e-03,-2.592169120907783508e-02,-3.039289731532335281e-05,-7.476725615561008453e-03,-1.639846712350845337e-03,2.607814222574234009e-02,1.227068714797496796e-03,-8.294515013694763184e-01,-5.707808770239353180e-03,-3.640672657638788223e-03,-2.364749088883399963e-04,4.729309119284152985e-03,1.076637580990791321e-02,2.768576145172119141e-03,-4.704589024186134338e-03,-6.058806553483009338e-03,-8.861943148076534271e-03,-5.027065053582191467e-03,-2.696180716156959534e-03,7.980100810527801514e-03,-2.677787095308303833e-03,6.090868264436721802e-04
4.028752911835908890e-03,8.153293281793594360e-03,5.360214039683341980e-03,-2.347464673221111298e-03,3.867250634357333183e-04,-1.143133267760276794e-04,-1.275125332176685333e-02,4.422837868332862854e-03,3.478795289993286133e-03,-5.915025714784860611e-03,-1.721902284771203995e-03,-1.976348087191581726e-02,-9.633918525651097298e-04,-7.460557855665683746e-03,-2.179004251956939697e-03,2.662137895822525024e-02,-1.191508490592241287e-04,-8.307710886001586914e-01,-4.803047515451908112e-03,-2.536343876272439957e-03,-6.894683465361595154e-04,5.754020996391773224e-03,9.897131472826004028e-03,4.941038787364959717e-03,-3.868911415338516235e-03,-5.177827551960945129e-03,-8.550112135708332062e-03,-3.989348188042640686e-03,-2.385238185524940491e-03,7.284224499017000198e-03,-2.035021781921386719e-03,3.564136102795600891e-03
4.148867446929216385e-03,8.649442344903945923e-03,2.783579751849174500e-03,-2.136073075234889984e-03,-3.308850573375821114e-04,-1.256195828318595886e-04,-1.351460628211498260e-02,2.478837966918945312e-03,3.623872529715299606e-03,-7.595538161695003510e-03,4.919334314763545990e-04,-1.279069855809211731e-02,1.529528643004596233e-03,-5.500014871358871460e-03,-3.917925991117954254e-03,2.369745820760726929e-02,1.646745018661022186e-03,-8.075304627418518066e-01,-4.400954581797122955e-03,-9.395913220942020416e-04,-1.953709870576858521e-04,6.598987616598606110e-03,1.085260882973670959e-02,5.810156464576721191e-03,-5.242424085736274719e-03,-4.088263958692550659e-03,-6.795635446906089783e-03,-6.936574354767799377e-03,-2.719471231102943420e-03,6.445482838898897171e-03,-3.050945699214935303e-03,4.234196618199348450e-03
